ID,作物名称,种质名称,科名,属名,种名或亚种名,来源地,原产国,原产省,原产地,资源类型,主要特性,生育周期,海拔,经度,纬度,鉴定试验地点,土壤类型,生态系统类型,年均温度,年均降雨量,抗旱性鉴定结果,保存单位,保存资源类型,保存方式,实物状态,共享方式,获取途径,联系方式
YAAS0291,水稻,糯射,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0292,水稻,小花壳,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0293,水稻,黄皮糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,云龙县,地方品种,,一年生,1640, 9923,2554,云南元江,砂壤,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0294,水稻,老来红,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0295,水稻,黄壳糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0296,水稻,米卯谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0297,水稻,细灰谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0298,水稻,麻线谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,腾冲县,地方品种,,一年生,1638, 9830,2501,云南元江,砂壤,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0299,水稻,金星糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0300,水稻,牛场谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,龙陵县,地方品种,,一年生,1539, 9841,2436,云南元江,砂壤,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
