序号,参试材料编号,干旱处理时期,鉴定时间,抗旱指数,抗旱指数评价的抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价的抗旱性,抗旱性综合评价,抗旱系数,产量干旱,产量对照,株高干旱cm,株高对照cm,分枝数干旱,分枝数对照,主花序长干旱cm,主花序长对照cm,主花序有效角果数干旱,主花序有效角果数对照,全株有效角果数干旱,全株有效角果数对照,主茎角果密度个/cm干旱,主茎角果密度个/cm对照,角粒数干旱,角粒数对照,千粒重干旱g,千粒重对照g,主根长处理cm,主根长对照cm,侧根数处理,侧根数对照,植株总鲜重处理g,植株总鲜重对照g,根鲜重处理g,根鲜重对照g,地上部分鲜重处理g,地上部分鲜重对照g,根冠比处理,根冠比对照,备注
1,07116-2,"全生育降雨量150mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.93,HR,0.37 ,R,HR,1.37 ,17.66 ,12.88 ,91.40 ,106.20 ,5.20 ,4.40 ,50.00 ,60.00 ,43.60 ,49.80 ,304.60 ,194.40 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
2,07064-1,"全生育降雨量151mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.36,HS,0.13 ,HS,HS,0.58 ,7.86 ,13.56 ,75.40 ,80.80 ,4.20 ,4.40 ,37.20 ,51.00 ,35.00 ,40.00 ,115.60 ,203.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
3,07015-1,"全生育降雨量152mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.36,R,0.33 ,MR,R,1.39 ,12.30 ,8.88 ,108.80 ,112.60 ,4.80 ,4.60 ,56.40 ,63.80 ,46.60 ,58.00 ,173.20 ,175.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
4,072X-70,"全生育降雨量153mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.16,R,0.20 ,HS,R,1.36 ,10.70 ,7.86 ,89.40 ,128.20 ,4.60 ,3.60 ,52.40 ,71.20 ,45.60 ,76.40 ,255.20 ,158.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
5,07604-2,"全生育降雨量154mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.11,HS,0.15 ,HS,HS,0.39 ,3.60 ,9.24 ,81.60 ,103.20 ,4.00 ,4.00 ,47.80 ,59.00 ,25.00 ,52.40 ,163.20 ,178.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
6,07599-1,"全生育降雨量155mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.32,HS,0.19 ,HS,HS,0.48 ,8.24 ,17.04 ,97.60 ,117.60 ,4.80 ,6.20 ,47.00 ,50.60 ,42.00 ,57.00 ,181.40 ,280.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
7,07597-3,"全生育降雨量156mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.47,S,0.17 ,HS,S,0.63 ,9.32 ,14.88 ,83.40 ,108.60 ,4.80 ,5.40 ,47.00 ,50.40 ,42.60 ,50.20 ,120.80 ,156.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
8,07762-1-1,"全生育降雨量157mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.29,HS,0.18 ,HS,HS,0.56 ,6.58 ,11.72 ,93.20 ,99.80 ,3.60 ,5.20 ,49.00 ,54.20 ,44.20 ,46.40 ,95.80 ,184.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
9,07636-1 8/2,"全生育降雨量158mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.44,S,0.24 ,S,S,0.52 ,10.64 ,20.42 ,112.00 ,119.80 ,6.00 ,6.40 ,51.60 ,60.00 ,49.40 ,57.60 ,135.60 ,311.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
10,07659-1,"全生育降雨量159mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.82,MR,0.27 ,S,MR,1.06 ,9.70 ,9.12 ,98.80 ,104.20 ,6.60 ,5.40 ,41.60 ,40.20 ,51.00 ,48.40 ,123.40 ,114.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
11,07721-2-2,"全生育降雨量160mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.84,MR,0.27 ,S,MR,0.89 ,11.88 ,13.36 ,105.00 ,134.60 ,6.40 ,6.00 ,51.60 ,59.60 ,50.80 ,63.60 ,241.80 ,225.60 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
12,07359-3,"全生育降雨量161mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.89,MR,0.19 ,HS,R,0.75 ,14.92 ,19.84 ,101.80 ,122.60 ,5.20 ,5.60 ,51.20 ,58.20 ,42.00 ,61.60 ,202.60 ,284.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
13,07469-2,"全生育降雨量162mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.79,MR,0.22 ,HS,R,0.80 ,12.36 ,15.40 ,106.40 ,132.60 ,5.20 ,6.40 ,51.40 ,56.00 ,54.80 ,63.00 ,135.40 ,162.60 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
14,07496-3,"全生育降雨量163mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.43,R,0.36 ,MR,R,1.47 ,12.26 ,8.36 ,91.00 ,102.80 ,5.40 ,4.80 ,48.80 ,47.80 ,69.60 ,64.20 ,251.20 ,233.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
15,07662-3  8/2,"全生育降雨量164mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.16,R,0.22 ,HS,R,1.11 ,13.06 ,11.72 ,94.60 ,105.40 ,5.20 ,5.00 ,42.60 ,45.40 ,46.00 ,54.00 ,207.00 ,213.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
16,07671-2,"全生育降雨量165mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.49,S,0.26 ,S,S,0.75 ,8.24 ,11.04 ,98.80 ,111.00 ,5.60 ,4.80 ,46.20 ,57.40 ,44.80 ,42.00 ,156.80 ,121.60 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
17,07682-2  11,"全生育降雨量166mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.78,MR,0.21 ,HS,R,1.00 ,9.78 ,9.78 ,99.67 ,126.67 ,4.67 ,4.00 ,48.33 ,65.33 ,40.67 ,64.67 ,134.67 ,127.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
18,07M798,"全生育降雨量167mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.4,S,0.13 ,HS,S,0.50 ,10.06 ,20.12 ,84.80 ,114.00 ,5.20 ,5.00 ,47.80 ,58.60 ,32.40 ,57.00 ,185.80 ,235.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
19,07M012,"全生育降雨量168mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.78,MR,0.25 ,S,S,0.74 ,13.20 ,17.86 ,108.00 ,131.67 ,7.33 ,6.00 ,56.00 ,64.00 ,48.67 ,50.33 ,179.33 ,227.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
20,07M797,"全生育降雨量169mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.13,R,0.32 ,MR,R,0.95 ,14.84 ,15.58 ,106.33 ,125.33 ,6.00 ,5.33 ,46.67 ,50.67 ,51.00 ,53.33 ,225.33 ,183.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
21,07515-1,"全生育降雨量170mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.42,S,0.17 ,HS,S,0.60 ,8.66 ,14.36 ,77.00 ,83.00 ,4.67 ,4.00 ,36.00 ,49.67 ,27.67 ,38.33 ,176.00 ,199.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
22,07671-1,"全生育降雨量171mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.04,R,0.48 ,HR,R,1.02 ,12.80 ,12.54 ,104.33 ,100.67 ,9.00 ,4.67 ,56.67 ,43.67 ,31.33 ,35.33 ,286.00 ,132.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
23,07636-3,"全生育降雨量172mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.58,R,0.42 ,HR,R,0.58 ,12.68 ,21.90 ,117.00 ,111.33 ,6.00 ,5.33 ,62.00 ,52.00 ,58.00 ,53.67 ,187.00 ,215.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
24,07786-3-2,"全生育降雨量173mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.84,MR,0.40 ,HR,MR,1.23 ,8.54 ,6.92 ,124.67 ,114.33 ,5.33 ,5.33 ,47.00 ,54.67 ,61.67 ,66.00 ,70.67 ,136.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
25,2007675,"全生育降雨量174mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,3.86,HR,0.59 ,HR,HR,1.80 ,26.96 ,15.00 ,132.44 ,119.40 ,7.40 ,5.20 ,60.00 ,64.60 ,69.80 ,68.00 ,366.80 ,358.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
26,2007661,"全生育降雨量175mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.6,R,0.22 ,HS,HS,0.68 ,11.10 ,16.38 ,113.67 ,129.67 ,5.33 ,5.00 ,54.67 ,66.00 ,25.67 ,60.00 ,127.67 ,126.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
27,7655,"全生育降雨量176mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.89,HR,0.33 ,MR,R,1.37 ,17.30 ,12.60 ,115.33 ,120.33 ,5.33 ,5.00 ,67.33 ,61.67 ,57.00 ,60.67 ,125.00 ,154.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
28,07160-2,"全生育降雨量177mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.69,R,0.19 ,HS,R,0.61 ,14.28 ,23.54 ,78.67 ,103.67 ,5.00 ,4.67 ,32.00 ,55.33 ,37.33 ,62.00 ,218.33 ,213.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
29,07182-3,"全生育降雨量178mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.2,HS,0.15 ,HS,HS,0.41 ,6.04 ,14.58 ,90.33 ,108.00 ,4.33 ,4.67 ,45.00 ,50.50 ,47.33 ,57.67 ,120.67 ,120.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
30,07730-1,"全生育降雨量179mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.8,MR,0.38 ,R,MR,0.96 ,10.44 ,10.88 ,116.00 ,116.00 ,5.67 ,4.67 ,50.33 ,65.33 ,36.67 ,51.00 ,301.67 ,179.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
31,20077731,"全生育降雨量180mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.38,HS,0.26 ,S,HS,0.49 ,9.70 ,19.76 ,107.00 ,133.00 ,6.00 ,4.67 ,55.00 ,64.67 ,47.33 ,57.33 ,184.00 ,233.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
32,07475-1,"全生育降雨量181mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.89,MR,0.33 ,MR,MR,0.97 ,11.58 ,11.98 ,118.33 ,127.67 ,5.67 ,4.67 ,55.00 ,67.33 ,61.00 ,81.00 ,229.33 ,215.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
33,2007413,"全生育降雨量182mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.36,R,0.40 ,HR,R,0.84 ,20.32 ,24.26 ,136.00 ,130.67 ,7.33 ,7.33 ,57.67 ,60.67 ,64.67 ,62.67 ,223.67 ,249.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
34,2007405,"全生育降雨量183mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.66,R,0.25 ,S,S,0.72 ,11.52 ,16.10 ,115.67 ,137.67 ,4.67 ,8.33 ,61.00 ,62.33 ,51.33 ,56.67 ,186.33 ,255.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
35,2007399,"全生育降雨量184mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.89,MR,0.26 ,S,S,0.91 ,12.30 ,13.56 ,106.33 ,122.67 ,5.33 ,7.00 ,57.00 ,57.67 ,65.00 ,77.33 ,115.67 ,240.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
36,2007386,"全生育降雨量185mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.2,R,0.31 ,MR,R,1.39 ,10.82 ,7.76 ,114.00 ,141.33 ,4.33 ,5.00 ,59.33 ,62.67 ,66.33 ,60.67 ,233.33 ,146.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
37,2007365,"全生育降雨量186mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,2.45,HR,0.36 ,MR,R,1.36 ,22.58 ,16.58 ,104.33 ,136.33 ,6.33 ,4.67 ,60.00 ,70.67 ,63.00 ,81.33 ,299.33 ,168.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
38,2007363,"全生育降雨量187mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.67,HR,0.39 ,R,HR,1.04 ,20.06 ,19.24 ,125.33 ,143.00 ,5.33 ,5.00 ,65.33 ,62.00 ,58.67 ,67.67 ,239.67 ,261.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
39,071  708-31/1,"全生育降雨量188mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,,HS,0.35 ,MR,R,,14.52 ,,101.33 ,112.67 ,8.67 ,5.67 ,51.33 ,52.00 ,53.67 ,48.67 ,190.00 ,247.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
40,07745-4-2,"全生育降雨量189mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,2.2,HR,0.42 ,HR,HR,1.63 ,16.94 ,10.38 ,104.00 ,130.00 ,7.00 ,6.33 ,56.00 ,55.00 ,51.00 ,54.67 ,319.33 ,141.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
41,07767-1-2,"全生育降雨量190mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.56,S,0.29 ,MR,S,0.57 ,12.34 ,21.72 ,115.00 ,116.67 ,5.00 ,6.33 ,54.33 ,59.33 ,73.67 ,64.00 ,155.00 ,292.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
42,M318,"全生育降雨量191mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,8.91,HR,0.15 ,HS,MR,2.55 ,43.80 ,17.16 ,93.33 ,120.00 ,5.00 ,6.00 ,46.67 ,61.00 ,31.33 ,52.67 ,119.00 ,213.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
43,M841,"全生育降雨量192mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.49,S,0.25 ,S,S,0.68 ,8.98 ,13.12 ,93.00 ,108.00 ,5.00 ,6.33 ,52.67 ,57.00 ,45.67 ,55.00 ,215.33 ,179.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
44,M007,"全生育降雨量193mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.5,S,0.21 ,HS,S,0.71 ,8.78 ,12.34 ,103.67 ,115.67 ,5.00 ,5.33 ,47.67 ,55.00 ,46.67 ,52.00 ,189.67 ,262.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
45,M075,"全生育降雨量194mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.09,HS,0.22 ,HS,HS,0.27 ,4.18 ,15.32 ,103.00 ,95.00 ,4.67 ,6.67 ,47.67 ,52.67 ,43.33 ,48.33 ,131.00 ,235.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
46,M798,"全生育降雨量195mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.65,R,0.37 ,R,R,0.69 ,11.84 ,17.14 ,110.00 ,92.67 ,4.67 ,5.00 ,53.00 ,48.00 ,44.00 ,38.67 ,191.67 ,121.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
47,7M043  4/2,"全生育降雨量196mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.25,HS,0.38 ,R,MR,0.50 ,6.22 ,12.38 ,131.67 ,137.67 ,4.33 ,6.33 ,66.33 ,77.33 ,70.33 ,75.00 ,142.33 ,253.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
48,7M052  2/1,"全生育降雨量197mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.2,HS,0.19 ,HS,HS,0.45 ,5.50 ,12.10 ,96.67 ,98.33 ,4.00 ,5.67 ,51.33 ,51.67 ,44.67 ,67.67 ,114.33 ,232.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
49,07M076  5/3,"全生育降雨量198mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.94,MR,0.35 ,MR,MR,0.91 ,12.88 ,14.10 ,106.67 ,128.33 ,7.00 ,5.67 ,53.33 ,46.67 ,42.33 ,53.67 ,205.67 ,224.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
50,07M091  4/1,"全生育降雨量199mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.14,R,0.37 ,R,R,1.51 ,9.48 ,6.26 ,116.67 ,115.00 ,6.00 ,5.67 ,50.00 ,50.33 ,61.67 ,49.00 ,161.67 ,153.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
51,07M098  2/1,"全生育降雨量200mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.74,R,0.47 ,HR,R,1.26 ,7.32 ,5.80 ,116.00 ,118.33 ,5.33 ,7.33 ,59.67 ,48.00 ,89.33 ,36.00 ,128.33 ,233.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
52,07M041  8/2,"全生育降雨量201mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.54,S,0.37 ,R,MR,0.90 ,7.54 ,8.42 ,126.33 ,141.33 ,5.67 ,5.00 ,63.33 ,67.67 ,60.33 ,69.00 ,183.67 ,161.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
53,07M154 1/2,"全生育降雨量202mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,2.26,HR,0.24 ,S,MR,1.54 ,18.48 ,12.02 ,79.00 ,108.67 ,6.00 ,5.00 ,48.00 ,54.33 ,56.00 ,50.00 ,242.33 ,172.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
54,07M191  6/3,"全生育降雨量203mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.72,R,0.21 ,HS,MR,0.69 ,13.02 ,18.78 ,90.67 ,96.67 ,5.33 ,5.67 ,47.00 ,55.33 ,53.00 ,50.33 ,226.67 ,266.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
55,07M193  8/1,"全生育降雨量204mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.45,R,0.30 ,MR,R,1.11 ,16.50 ,14.92 ,95.33 ,133.00 ,7.67 ,5.67 ,42.67 ,53.00 ,43.33 ,59.33 ,316.33 ,221.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
56,07M208  5/3,"全生育降雨量205mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.27,HS,0.37 ,R,MR,0.57 ,5.88 ,10.30 ,124.00 ,137.00 ,7.00 ,5.33 ,62.00 ,57.33 ,60.33 ,58.33 ,217.00 ,231.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
57,07M209  4/2,"全生育降雨量206mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,2.11,HR,0.27 ,S,MR,1.42 ,18.68 ,13.16 ,119.00 ,134.67 ,5.67 ,6.67 ,53.67 ,65.33 ,55.00 ,68.00 ,237.67 ,254.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
58,07M210  5/1,"全生育降雨量207mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,2.11,HR,0.50 ,HR,HR,1.30 ,20.32 ,15.60 ,129.00 ,145.00 ,6.67 ,5.33 ,55.67 ,59.00 ,54.33 ,58.67 ,550.67 ,291.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
59,KH531,"全生育降雨量100mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.93 ,R,0.5,R,R,0.85 ,125.07 ,147.52 ,105.80 ,110.60 ,,,,,,,172.60 ,233.20 ,,,18.10 ,25.30 ,4.34 ,4.48 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
60,KH536,"全生育降雨量101mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.95 ,R,0.51,HR,R,1.00 ,109.04 ,109.04 ,106.60 ,107.00 ,,,,,,,170.60 ,253.60 ,,,16.50 ,19.30 ,3.67 ,4.03 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
61,KH540,"全生育降雨量102mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.74 ,S,0.25,S,S,0.77 ,109.04 ,141.11 ,104.80 ,110.80 ,,,,,,,171.20 ,274.80 ,,,16.20 ,18.50 ,3.90 ,4.00 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
62,KH556,"全生育降雨量103mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.12 ,HR,0.59,HR,HR,1.00 ,128.28 ,128.28 ,132.20 ,147.80 ,,,,,,,232.40 ,248.00 ,,,23.90 ,24.30 ,3.52 ,3.94 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
63,KH557,"全生育降雨量104mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.58 ,S,0.42,MR,S,0.86 ,76.97 ,89.80 ,120.40 ,139.40 ,,,,,,,164.40 ,201.20 ,,,25.30 ,26.40 ,3.84 ,3.85 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
64,KH559,"全生育降雨量105mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.07 ,R,0.36,MR,MR,0.91 ,134.69 ,147.52 ,137.60 ,140.00 ,,,,,,,160.20 ,265.60 ,,,20.00 ,20.80 ,3.45 ,3.70 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
65,KH560,"全生育降雨量106mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.73 ,S,0.49,R,MR,0.93 ,89.80 ,96.21 ,125.60 ,128.80 ,,,,,,,278.80 ,279.70 ,,,11.90 ,22.50 ,3.88 ,3.99 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
66,KH561,"全生育降雨量107mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.79 ,S,0.21,HS,HS,0.83 ,109.04 ,131.49 ,133.60 ,149.20 ,,,,,,,163.60 ,224.20 ,,,12.70 ,21.80 ,4.06 ,4.08 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
67,KH563,"全生育降雨量108mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.57 ,HR,0.5,R,HR,0.97 ,186.01 ,192.42 ,99.80 ,118.20 ,,,,,,,136.40 ,140.00 ,,,18.70 ,19.70 ,3.85 ,4.35 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
68,KH573,"全生育降雨量109mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.85 ,MR,0.24,S,MR,0.89 ,109.04 ,121.87 ,137.00 ,137.80 ,,,,,,,98.80 ,293.80 ,,,20.10 ,24.30 ,3.88 ,3.97 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
69,云花油早熟1号,"全生育降雨量110mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.65 ,S,0.45,R,MR,0.82 ,89.80 ,109.04 ,126.00 ,139.80 ,,,,,,,217.40 ,323.00 ,,,22.60 ,25.10 ,3.10 ,3.20 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
70,KH574,"全生育降雨量111mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.35 ,HS,0.4,MR,HS,0.56 ,70.55 ,125.07 ,138.80 ,147.80 ,,,,,,,224.40 ,232.20 ,,,14.80 ,29.40 ,3.55 ,3.58 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
71,KH575,"全生育降雨量112mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.39 ,HS,0.55,HR,HS,0.53 ,83.38 ,157.14 ,130.80 ,147.00 ,,,,,,,204.40 ,264.00 ,,,18.30 ,24.30 ,3.90 ,4.00 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
72,KH582,"全生育降雨量113mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.32 ,HR,0.21,HS,MR,0.98 ,153.94 ,157.14 ,142.40 ,149.20 ,,,,,,,224.40 ,297.00 ,,,19.10 ,23.00 ,3.61 ,3.64 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
73,KH586,"全生育降雨量114mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.27 ,HR,0.17,HS,MR,0.91 ,160.35 ,176.39 ,135.60 ,136.60 ,,,,,,,117.00 ,280.20 ,,,19.20 ,25.50 ,3.71 ,3.76 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
74,KH587,"全生育降雨量115mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.93 ,MR,0.34,S,MR,0.97 ,109.04 ,112.25 ,111.00 ,137.20 ,,,,,,,143.80 ,232.40 ,,,20.70 ,21.70 ,3.48 ,3.52 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
75,KH591,"全生育降雨量116mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.93 ,R,0.23,S,MR,0.83 ,128.28 ,153.94 ,114.00 ,150.60 ,,,,,,,166.00 ,244.00 ,,,19.10 ,27.10 ,3.54 ,3.59 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
76,KH596,"全生育降雨量117mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.55 ,HS,0.36,MR,MR,0.70 ,89.80 ,128.28 ,121.20 ,137.60 ,,,,,,,182.40 ,458.60 ,,,17.40 ,23.60 ,4.08 ,4.20 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定
